City,ST,2023 estimate,2020 census,Change (%),2020 land area (mi2),2020 land area (km2),2020 density (/mi2),2020 density (/km2),Latitude,Longitude,Category
Fayetteville,AR,101680,93949,0.0823,54.1,140.1,1737,671,36.07,-94.17,Regular City
Quincy,MA,101597,101636,-0.0004,16.6,43.0,6123,2364,42.26,-71.01,Regular City
San Mateo,CA,101327,105661,-0.040999999999999995,12.1,31.3,8732,3371,37.56,-122.31,Regular City
Chico,CA,101301,101475,-0.0017000000000000001,34.1,88.3,2976,1149,39.76,-121.82,Regular City
Lynn,MA,101241,101253,-0.0001,10.7,27.7,9463,3654,42.47,-70.96,Regular City
Albany,NY,101228,99224,0.0202,21.4,55.4,4637,1790,42.67,-73.8,State capital
Yuma,AZ,100858,95548,0.0556,120.7,312.6,792,306,32.52,-114.52,Regular City
New Bedford,MA,100695,101079,-0.0038,20.0,51.8,5054,1951,41.66,-70.94,Regular City
Suffolk,VA,100659,94324,0.0672,399.2,1033.9,236,91,36.7,-76.63,Regular City
Hesperia,CA,100633,99818,0.008199999999999999,72.7,188.3,1373,530,34.4,-117.32,Regular City
Davenport,IA,100354,101724,-0.013500000000000002,63.8,165.2,1594,615,41.56,-90.6,Regular City
Cheyenne,WY,65000,64235,0.0119,27.0,69.9,2407,930,41.14,-104.82,State capital
Charleston,WV,48100,48672,-0.0118,31.6,81.9,1522,588,38.35,-81.63,State capital
