City,ST,2023 estimate,2020 census,Change (%),2020 land area (mi2),2020 land area (km2),2020 density (/mi2),2020 density (/km2),Latitude,Longitude,Category
Pembroke Pines,FL,171119,171178,-0.0003,32.7,84.7,5235,2021,26.01,-80.34,Regular City
Fort Collins,CO,170376,169810,0.0033,57.2,148.1,2969,1146,40.55,-105.06,Regular City
Springfield,MO,170188,169176,0.006,82.4,213.4,2053,793,37.19,-93.29,Regular City
Oceanside,CA,170020,174068,-0.0233,41.3,107.0,4215,1627,33.22,-117.31,Regular City
Garden Grove,CA,168234,171949,-0.0216,18.0,46.6,9553,3688,33.78,-117.96,Regular City
Lancaster,CA,166236,173516,-0.042,94.3,244.2,1840,710,34.69,-118.18,Regular City
Murfreesboro,TN,165430,152769,0.08289999999999999,62.9,162.9,2429,938,35.85,-86.42,Regular City
Palmdale,CA,161404,169450,-0.0475,106.1,274.8,1597,617,34.59,-118.11,Regular City
Corona,CA,160238,157136,0.0197,39.9,103.3,3938,1520,33.86,-117.57,Regular City
Killeen,TX,159643,153095,0.042800000000000005,54.8,141.9,2794,1079,31.08,-97.73,Regular City
Salinas,CA,159506,163542,-0.024700000000000003,23.5,60.9,6959,2687,36.69,-121.63,Regular City
Roseville,CA,159135,147773,0.07690000000000001,44.1,114.2,3351,1294,38.77,-121.32,Regular City
Denton,TX,158349,139869,0.1321,96.4,249.7,1451,560,33.22,-97.14,Regular City
Surprise,AZ,158285,143148,0.1057,110.3,285.7,1298,501,33.67,-112.45,Regular City
Macon,GA,156512,157346,-0.0053,249.4,645.9,631,244,32.81,-83.69,Regular City
Paterson,NJ,156452,159732,-0.020499999999999997,8.4,21.8,19016,7342,40.91,-74.16,Regular City
